,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,297,602,700,116,654,279,147,445,172,574,378,635,187,141,114,446,704,444,580,279,378,839,607,554,194,302,547,423,561
1,362,0,752,851,202,805,235,287,595,225,724,540,786,175,232,302,596,855,595,730,235,540,989,757,705,183,464,698,574,711
2,647,866,0,581,685,551,848,664,414,741,470,581,69,756,711,683,414,277,399,47,848,581,366,98,252,764,532,378,391,391
3,531,750,480,0,569,29,732,547,240,625,153,431,514,640,594,567,256,583,204,458,732,431,717,485,433,647,382,426,192,435
4,187,221,577,676,0,630,203,112,421,96,550,366,611,111,33,128,422,680,420,556,203,366,814,583,530,118,289,523,399,537
5,504,723,452,31,541,0,705,520,213,598,125,403,486,612,567,539,228,555,177,431,705,403,689,458,405,620,355,398,164,407
6,318,263,708,807,159,761,0,243,552,182,680,496,742,131,189,259,553,811,551,687,0,496,945,714,661,139,420,654,530,667
7,105,324,558,657,142,611,305,0,402,199,530,404,592,213,168,140,402,661,401,537,305,404,795,563,511,221,328,504,380,517
8,443,662,388,374,481,347,644,459,0,537,266,343,421,551,506,478,25,491,128,366,644,343,625,393,340,559,294,334,116,347
9,255,269,645,744,96,698,251,180,489,0,618,434,679,159,126,196,490,748,488,624,251,434,882,651,598,167,357,591,467,605
10,580,799,443,167,618,137,781,596,289,674,0,480,477,689,643,616,305,546,253,422,781,480,680,449,396,696,432,389,241,398
11,451,571,486,542,390,515,548,365,305,446,434,0,520,460,415,394,306,589,304,465,548,0,723,492,439,468,107,443,284,345
12,645,864,71,578,682,548,846,661,411,739,468,578,0,753,708,680,412,275,397,117,846,578,365,84,249,761,530,375,389,388
13,393,285,783,882,234,836,259,318,627,257,756,572,817,0,264,334,628,886,626,762,259,572,1020,789,736,104,495,729,605,743
14,215,254,605,704,33,658,236,140,449,129,578,394,639,144,0,156,450,708,448,584,236,394,842,611,558,152,318,551,427,565
15,184,267,575,673,85,628,249,110,418,142,547,363,608,156,111,0,419,677,417,553,249,363,812,580,527,164,287,521,397,534
16,461,680,420,391,499,363,662,478,45,556,283,361,454,570,525,497,0,523,161,399,662,361,657,426,373,578,313,366,132,379
17,781,1000,373,714,819,685,982,797,547,875,604,714,406,889,844,816,548,0,533,351,982,714,450,378,385,897,666,511,525,525
18,429,648,373,319,467,291,630,445,122,523,211,329,406,537,492,464,149,475,0,351,630,329,610,378,325,545,280,318,72,332
19,649,868,46,582,687,553,850,665,415,743,472,583,116,757,712,684,416,270,401,0,850,583,329,97,253,765,534,379,393,393
20,318,263,708,807,159,761,0,243,552,182,680,496,742,131,189,259,553,811,551,687,0,496,945,714,661,139,420,654,530,667
21,451,571,486,542,390,515,548,365,305,446,434,0,520,460,415,394,306,589,304,465,548,0,723,492,439,468,107,443,284,345
22,817,1036,386,750,854,720,1018,833,583,911,640,750,372,925,880,852,583,427,568,401,1018,750,0,344,421,933,702,547,561,560
23,644,862,127,577,681,547,844,660,410,738,466,577,196,752,707,679,410,273,395,141,844,577,363,0,248,760,529,374,388,387
24,523,742,137,456,560,426,724,539,289,617,346,456,171,631,586,558,290,240,275,116,724,456,374,143,0,639,408,253,267,266
25,350,242,740,839,191,793,216,275,584,214,713,529,774,87,221,291,585,843,583,719,216,529,977,746,693,0,453,686,562,700
26,451,528,480,536,390,508,485,365,299,446,427,131,514,460,415,394,300,583,298,459,485,131,717,485,433,468,0,426,277,359
27,495,714,223,432,532,402,696,511,261,589,322,428,256,603,558,530,262,325,247,201,696,428,460,228,175,611,380,0,239,238
